listing_id,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,neighbourhood_name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_history,available_rate_history,avg_minimum_nights_calendar_history,avg_maximum_nights_calendar_history,available_days_last_30d,available_rate_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version,has_reviews
1378257834145375534,Private room,Private room in bed and breakfast,4,2.0,2.0,2.0,316.0,3,1125,False,False,1,Centrum-West,3.0,3.0,291.3333333333333,356.0,416.0,88,0.967032967032967,3.0,1125.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1378262896135608660,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,541.0,2,7,False,False,1,De Baarsjes - Oud-West,6.0,6.0,320.8333333333333,657.0,396.0,11,0.12087912087912088,2.0,7.0,11,0.36666666666666664,30,30,1.0,0,2026-08-11,v1_student,1
1378266681715630486,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,131.0,2,6,False,False,2,Noord-Oost,20.0,20.0,206.4,756.0,366.0,0,0.0,2.0,6.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1378291599251756003,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,108.0,2,6,False,False,2,Noord-Oost,16.0,16.0,230.875,815.0,337.0,0,0.0,2.0,6.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1378304553235190543,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,360.0,1,365,False,False,1,De Baarsjes - Oud-West,0.0,0.0,,,424.0,91,1.0,1.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1378996546788931269,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,260.0,3,365,False,False,1,De Baarsjes - Oud-West,1.0,1.0,608.0,608.0,455.0,0,0.0,3.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1379015118243256820,Entire home/apt,Entire condo,2,1.0,1.0,1.0,196.0,3,365,False,False,1,Westerpark,1.0,1.0,291.0,291.0,478.0,0,0.0,3.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1379462276258429025,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,159.0,7,30,False,False,1,Westerpark,1.0,1.0,199.0,199.0,487.0,91,1.0,7.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1379777102854917705,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,275.0,2,9,False,True,23,De Baarsjes - Oud-West,0.0,0.0,,,424.0,10,0.10989010989010989,2.0,9.0,10,0.3333333333333333,30,30,1.0,0,2026-08-11,v1_student,0
1379886915174179694,Entire home/apt,Entire condo,4,2.0,3.0,1.0,199.0,3,14,True,False,1,Noord-Oost,3.0,3.0,219.0,337.0,359.0,91,1.0,3.0,14.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1380226378100133789,Private room,Room in hotel,4,1.0,,1.0,,1,365,True,True,12,Watergraafsmeer,0.0,0.0,,,424.0,89,0.978021978021978,1.2857142857142858,365.0,28,0.9333333333333333,30,30,1.0,0,2026-08-11,v1_student,0
1380276484790392391,Entire home/apt,Entire rental unit,4,2.0,2.0,1.0,265.0,1,1125,False,False,35,Westerpark,1.0,1.0,1017.0,1017.0,389.0,0,0.0,1.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1380283460465566015,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,225.0,1,1125,False,False,35,De Pijp - Rivierenbuurt,0.0,0.0,,,424.0,0,0.0,1.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1380322164228052613,Entire home/apt,Boat,5,3.0,,1.0,,3,14,False,False,1,Oostelijk Havengebied - Indische Buurt,4.0,4.0,391.0,791.0,369.0,0,0.0,3.0,14.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1380472752145301616,Entire home/apt,Entire rental unit,2,2.0,4.0,2.0,280.0,20,365,False,False,1,De Pijp - Rivierenbuurt,0.0,0.0,,,424.0,0,0.0,20.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1380545382269072568,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,203.0,2,30,False,False,1,De Pijp - Rivierenbuurt,4.0,4.0,275.75,522.0,374.0,91,1.0,2.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1380947941873070408,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,365,True,False,1,Oostelijk Havengebied - Indische Buurt,0.0,0.0,,,424.0,0,0.0,3.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1380964189348525015,Private room,Private room in rental unit,3,1.0,1.0,1.5,72.0,3,365,True,False,2,De Baarsjes - Oud-West,10.0,10.0,170.5,508.0,390.0,91,1.0,2.2857142857142856,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
